trade_id,product_id,counterparty_id,asset_class,currency,direction,notional,quantity,trade_date,settlement_date,settlement_status,exchange
T_00000001,PROD002,CP005,Equity,CAD,SELL,12245347.8,18290,2025-10-16 00:00:00,2025-10-19 00:00:00,SETTLED,NYSE
T_00000002,PROD009,CP004,FX,CAD,SELL,28062691.9,93851,2024-08-26 00:00:00,2024-08-27 00:00:00,FAILED,NYSE
T_00000003,PROD006,CP001,Equity,AUD,SELL,13894289.21,28222,2024-06-12 00:00:00,2024-06-15 00:00:00,SETTLED,TSE
T_00000004,PROD007,CP001,Commodity,USD,SELL,36486859.6,70285,2025-09-10 00:00:00,2025-09-11 00:00:00,FAILED,SGX
T_00000005,PROD004,CP001,Credit,AUD,SELL,38653643.97,10459,2024-03-12 00:00:00,2024-03-14 00:00:00,CANCELLED,ASX
T_00000006,PROD002,CP005,FX,CAD,BUY,33509088.54,91989,2024-06-15 00:00:00,2024-06-17 00:00:00,PENDING,XETRA
T_00000007,PROD001,CP003,Credit,EUR,SELL,34231027.94,7332,2025-10-17 00:00:00,2025-10-19 00:00:00,SETTLED,LSE
T_00000008,PROD008,CP002,Rates,JPY,BUY,10632114.58,65436,2025-08-03 00:00:00,2025-08-06 00:00:00,PENDING,ASX
T_00000009,PROD004,CP002,Commodity,GBP,SELL,44891246.36,52351,2024-09-26 00:00:00,2024-09-30 00:00:00,SETTLED,NYSE
T_00000010,PROD010,CP004,Commodity,JPY,SELL,29820855.13,50433,2024-06-05 00:00:00,2024-06-09 00:00:00,SETTLED,ASX
T_00000011,PROD005,CP004,FX,USD,SELL,38430168.03,44588,2025-11-29 00:00:00,2025-12-02 00:00:00,SETTLED,ASX
T_00000012,PROD005,CP005,Commodity,AUD,BUY,25384576.05,13948,2024-09-26 00:00:00,2024-09-28 00:00:00,PENDING,TSE
T_00000013,PROD008,CP001,Equity,GBP,SELL,45924756.23,78505,2025-07-06 00:00:00,2025-07-11 00:00:00,FAILED,LSE
T_00000014,PROD009,CP002,FX,AUD,SELL,36595647.83,9072,2025-08-03 00:00:00,2025-08-04 00:00:00,PENDING,TSE
T_00000015,PROD004,CP003,Credit,CAD,SELL,46445745.74,98995,2025-09-13 00:00:00,2025-09-15 00:00:00,CANCELLED,SGX
T_00000016,PROD010,CP002,Equity,EUR,BUY,1052691.97,72604,2024-09-10 00:00:00,2024-09-13 00:00:00,SETTLED,LSE
T_00000017,PROD008,CP002,Commodity,CAD,BUY,25708291.83,36501,2024-02-02 00:00:00,2024-02-03 00:00:00,CANCELLED,LSE
T_00000018,PROD007,CP004,Equity,JPY,BUY,32949478.49,46439,2025-02-20 00:00:00,2025-02-21 00:00:00,SETTLED,XETRA
T_00000019,PROD003,CP003,Credit,JPY,BUY,26814751.41,18374,2024-04-21 00:00:00,2024-04-23 00:00:00,SETTLED,XETRA
T_00000020,PROD004,CP002,Credit,AUD,SELL,41801543.23,12225,2025-07-17 00:00:00,2025-07-22 00:00:00,CANCELLED,LSE
T_00000021,PROD008,CP003,Credit,AUD,SELL,49265456.88,34761,2024-03-01 00:00:00,2024-03-02 00:00:00,PENDING,LSE
T_00000022,PROD001,CP005,Credit,USD,BUY,3048817.62,41105,2024-02-29 00:00:00,2024-03-05 00:00:00,SETTLED,SGX
T_00000023,PROD002,CP005,FX,JPY,BUY,33760952.47,30829,2024-07-09 00:00:00,2024-07-10 00:00:00,SETTLED,XETRA
T_00000024,PROD004,CP003,Credit,GBP,BUY,10213755.71,93873,2025-08-01 00:00:00,2025-08-04 00:00:00,FAILED,XETRA
T_00000025,PROD002,CP005,FX,USD,SELL,31058341.62,73793,2024-03-15 00:00:00,2024-03-14 00:00:00,PENDING,TSE
T_00000026,PROD005,CP005,Commodity,CAD,BUY,21909790.47,71201,2024-09-07 00:00:00,2024-09-09 00:00:00,FAILED,ASX
T_00000027,PROD005,CP005,FX,GBP,SELL,37121091.78,20375,2024-05-17 00:00:00,2024-05-18 00:00:00,PENDING,ASX
T_00000028,PROD007,CP003,Equity,USD,BUY,45266919.22,6659,2024-09-27 00:00:00,2024-09-30 00:00:00,FAILED,LSE
T_00000029,PROD001,CP001,Equity,CHF,BUY,27584469.38,56058,2024-09-25 00:00:00,2024-09-29 00:00:00,SETTLED,TSE
T_00000030,PROD004,CP002,Equity,GBP,SELL,15413609.24,5230,2024-05-31 00:00:00,2024-06-01 00:00:00,CANCELLED,SGX
T_00000031,PROD006,CP004,FX,EUR,SELL,44070928.82,3249,2024-08-30 00:00:00,2024-09-01 00:00:00,PENDING,ASX
T_00000032,PROD005,CP002,FX,GBP,BUY,9979441.93,60333,2024-02-09 00:00:00,2024-02-11 00:00:00,PENDING,XETRA
T_00000033,PROD009,CP003,Equity,JPY,BUY,17557955.31,66769,2024-03-12 00:00:00,2024-03-15 00:00:00,FAILED,LSE
T_00000034,PROD006,CP004,Commodity,AUD,BUY,21728753.36,95492,2024-09-28 00:00:00,2024-10-03 00:00:00,CANCELLED,SGX
T_00000035,PROD004,CP003,Credit,CAD,BUY,25996497.51,70576,2024-02-15 00:00:00,2024-02-16 00:00:00,FAILED,SGX
T_00000036,PROD006,CP004,Rates,JPY,BUY,25356618.08,87411,2024-05-07 00:00:00,2024-05-10 00:00:00,PENDING,XETRA
T_00000037,PROD009,CP001,Rates,JPY,SELL,30776130.28,39447,2025-01-23 00:00:00,2025-01-25 00:00:00,PENDING,XETRA
T_00000038,PROD009,CP004,FX,EUR,BUY,22089859.06,88556,2025-09-13 00:00:00,2025-09-17 00:00:00,FAILED,SGX
T_00000039,PROD004,CP002,Equity,AUD,BUY,33640110.73,29445,2025-09-26 00:00:00,2025-09-28 00:00:00,PENDING,XETRA
